澳大利亚	Àodàlìyà	p.n.	Australia
趵突泉	Bàotū Quán	p.n.	Baotuquan, name of a spring
鲍全	Bào Quán	p.n.	Bao Quan, name of a person
菜市口	Càishìkǒu	p.n.	Caishikou, a place in Beijing
楚国	Chǔguó	p.n.	Kingdom of Chu
春秋	Chūnqiū	p.n.	Spring and Autumn Period (770 B.C. - 476 B.C.)
丹尼尔·卡内曼	Dānní'ěr Kǎnèimàn	p.n.	Daniel Kahneman
稻香村	Dàoxiāngcūn	p.n.	Daoxiangcun Bakery
东海龙王	Dōnghǎi Lóngwáng	p.n.	Dragon King of the East Sea
峰终定律	Fēngzhōng Dìnglǜ	p.n.	Peak-End Rule
广和居	Guǎnghéjū	p.n.	Guangheju Restaurant
华北	Huáběi	p.n.	north China
济南	Jǐ'nán	p.n.	Ji'nan, capital of Shandong Province
加利福尼亚州	Jiālìfúníyà Zhōu	p.n.	California
科恩	Kē'ēn	p.n.	Cohen, a surname
孔子	Kǒngzǐ	p.n.	Confucius, an ancient Chinese thinker and educator
李广	Lǐ Guǎng	p.n.	Li Guang (?-119 B.C.), a famous general
廉颇	Lián Pō	p.n.	Lian Po, a famous general
刘炽平	Liú Chìpíng	p.n.	Liu Chiping, president of Tencent
卢米埃尔	Lúmǐ'āi'ěr	p.n.	Lumière, a French surname
鲁迅	Lǔ Xùn	p.n.	Lu Xun (1881-1936), a famous Chinese writer
马萨诸塞州	Mǎsàzhūsài Zhōu	p.n.	Massachusetts
麦布里奇	Màibùlǐqí	p.n.	Eadweard Muybridge
梅西	Méixī	p.n.	Lionel Messi, a famous football player
《呐喊》	<Nàhǎn>	p.n.	Call to Arms, one of Lu Xun's short story collections
诺贝尔奖	Nuòbèi'ěr Jiǎng	p.n.	Nobel Prize
《彷徨》	Pánghuáng	p.n.	Wandering, one of Lu Xun's short story collections
七郎	Qīláng	p.n.	Qilang, name of a man
秦国	Qínguó	p.n.	State of Qin
舜	Shùn	p.n.	Shun, a legendary leader of ancient China
斯坦福	Sītǎnfú	p.n.	Leland Stanford
腾讯	Téngxùn	p.n.	Tencent, a Chinese company
微信	Wēixìn	p.n.	WeChat, a messaging and calling app
夕	Xī	p.n.	Xi, name of a monster
西汉	Xīhàn	p.n.	Western Han Dynasty (206 B.C. - 25 A.D.)
新西兰	Xīnxīlán	p.n.	New Zealand
杨雄	Yáng Xióng	p.n.	Yang Xiong (53 B.C. - 18 A.D.), a scholar
郁达夫	Yù Dáfū	p.n.	Yu Dafu (1896-1945), a famous Chinese writer
翟峰	Zhái Fēng	p.n.	Zhai Feng, name of a person
詹姆士·奈史密斯	Zhānmǔshì Nàishǐmìsī	p.n.	James Naismith
战国	Zhànguó	p.n.	Warring States Period (475 B.C. - 221 B.C.)
张小龙	Zhāng Xiǎolóng	p.n.	Zhang Xiaolong, senior vice president of Tencent
赵国	Zhàoguó	p.n.	State of Zhao
赵括	Zhào Kuò	p.n.	Zhao Kuo, son of Zhao She
赵奢	Zhào Shē	p.n.	Zhao She, a famous general
子路	Zǐlù	p.n.	Zilu, a disciple of Confucius
奔跑	bēnpǎo	v.	to run, to gallop
波动	bōdòng	v.	to undulate, to rise and fall
称霸	chēngbà	v.	to dominate, to maintain hegemony
代言	dàiyán	v.	to speak on behalf of, to star in a commercial
道具	dàojù	n.	stage property, prop
颠球	diān qiú		to juggle a soccer ball
叮	dīng	v.	to bite, to sting
恩爱	ēn'ài	adj.	(of husband and wife) loving
二手	èrshǒu	adj.	second-hand
帆船	fānchuán	n.	sailing boat/ship
放纵	fàngzòng	v.	to indulge, to be unrestrained
杆	gān	n.	pole, shaft
